CanopyHeight,x_coord,y_coord
0.304197530864198,670294,259039
0.55679012345679,671962,259285
0.603950617283951,670630,259663
0.459012345679012,674626,259291
0.641234567901235,670498,258805
0.319259259259259,670816,258763
0.586913580246914,673540,258601
0.641728395061728,672286,259519
0.427407407407407,668962,258781
0.315555555555556,673120,258997
0.610864197530864,669310,259675
0.168641975308642,673420,258457
0.0195061728395062,674362,258331
0.641728395061729,671140,259075
0.808641975308642,670636,258445
0.0516049382716049,672364,260215
0.107407407407407,668866,259705
0.348641975308642,673438,259465
0.495555555555556,674008,258847
0.634567901234568,672010,259513
0.31679012345679,668842,258337
0.234814814814815,674842,259225
0.200740740740741,670546,258805
0.217530864197531,672412,258997
0.55037037037037,671362,258985
0.670123456790123,673234,259093
0.194320987654321,670648,258883
0.47358024691358,668866,259351
0.454320987654321,668812,259111
0.461728395061728,674392,258841
0.750617283950617,670636,258583
0.600740740740741,669286,258889
0.606172839506173,670636,259147
0.374074074074074,674296,259249
0.686172839506173,669940,259039
0.672345679012346,672556,258613
0.014320987654321,672856,258307
0.082716049382716,672898,258823
0.349135802469136,671344,259417
0.0567901234567901,670324,259171
0.698765432098765,672262,259117
0.588148148148148,672376,259519
0.710123456790124,670750,258583
0.574320987654321,670858,259669
0.657283950617284,672574,259147
0.301975308641975,670384,258757
0.383456790123457,671752,259291
0.407407407407407,669370,259309
0.288888888888889,670150,260107
0.470617283950617,670612,259675
0.64,670696,259639
0.595061728395062,673048,259507
0.155308641975309,674020,258547
0.177777777777778,673666,258931
0.206172839506173,670240,258343
0.665679012345679,672976,259111
0.42716049382716,673414,259249
0.535802469135802,674290,259069
0.535555555555556,670564,258445
0.836543209876543,670816,258409
0.67037037037037,669838,259141
0.390617283950617,674134,259129
0.874814814814815,670696,258445
0.504938271604938,674500,259231
0.727654320987654,674326,258715
0.638765432098765,672478,258667
0.366172839506173,672052,259951
0.636049382716049,670174,259441
0.175061728395062,668608,259243
0.0844444444444444,668944,259903
0.0259259259259259,675106,259471
0.605432098765432,669928,258421
0.749382716049383,671038,258313
0.652098765432099,673240,258775
0.695802469135803,670282,258277
0.628888888888889,670888,258271
0.300246913580247,674170,258337
0.511111111111111,669634,258685
0.264444444444444,671842,260035
0.227407407407407,673552,258919
0.602962962962963,673126,259285
0.747654320987654,672916,259099
0.475802469135803,668908,258757
0.379753086419753,669844,258415
0.751604938271605,672514,258781
0.438518518518519,671242,259351
0.564197530864198,670606,259699
0.0190123456790123,672310,259795
0.529135802469136,673126,258331
0.526913580246914,671434,260011
0.521975308641975,671128,259681
0.607407407407408,672502,258751
0.392345679012346,674368,258523
0.818518518518519,670726,258361
0.707901234567901,669844,259117
0.591851851851852,673372,258409
0.0950617283950617,671596,258907
0.560987654320988,669628,258577
0.461728395061728,673978,258739
0.310123456790123,673828,258601
0.270864197530864,670528,260125
0.543456790123457,671446,259309
0.715308641975309,669088,259057
0.0049382716049382,669706,259909
0.492592592592593,671896,259015
0.371851851851852,669496,259423
0.616543209876543,671596,259501
0.654074074074074,669898,258121
0.401728395061728,670384,258595
0.461975308641975,669448,259333
0.622716049382716,669880,258451
0.664197530864198,673216,258517
0.667654320987654,670588,258679
0.0496296296296296,672502,258307
0.727407407407408,671392,260089
0.107407407407407,669016,259627
0.228641975308642,669952,259339
0.715061728395062,671500,259249
0.637037037037037,673420,258979
0.581728395061728,669310,258493
0.669876543209877,674614,259183
0.541975308641975,669934,258511
0.520493827160494,673708,258853
0.137777777777778,674320,259477
0.748641975308642,674248,259423
0.684938271604938,670522,258829
0.387407407407407,671374,260161
0.553086419753086,672064,259279
0.51037037037037,674890,258379
0.284444444444444,670774,258661
0.665679012345679,672028,259543
0.784444444444444,670870,258937
0.0748148148148148,668800,259933
0.782962962962963,671254,258733
0.704444444444444,673462,259243
0.493827160493827,669778,259339
0.506172839506173,671602,260089
0.539259259259259,672154,260005
0.689382716049383,671770,259225
0.617530864197531,672250,259573
0.683456790123457,671830,258979
0.203456790123457,670750,259825
0.626172839506173,669430,259135
0.326913580246914,674392,258403
0.220246913580247,674284,259273
0.0246913580246914,672370,258379
0.749876543209877,673294,258901
0.239753086419753,673510,258535
0.244197530864198,669394,259627
0.461234567901235,670066,258883
0.183950617283951,669682,259639
0.167160493827161,669838,258559
0.563703703703704,673324,259021
0.555308641975309,670762,258427
0.553086419753086,670846,259465
0.390617283950617,673114,259153
0.615802469135802,671728,260029
0.484938271604938,669526,258949
0.242962962962963,674122,259273
0.539753086419753,672160,260197
0.356543209876543,671116,260155
0.412592592592593,669490,259393
0.240987654320988,674242,258973
0.447654320987654,668938,259117
0.534320987654321,670216,259291
0.476543209876543,670420,259051
0.530864197530864,672634,260077
0.612839506172839,672934,259369
0.545185185185185,669736,259537
0.528148148148148,670282,258427
0.414074074074074,673810,258523
0.442962962962963,669592,259243
0.596543209876543,671002,259621
0.544938271604938,672610,259591
0.50641975308642,674050,259219
0.123703703703704,671086,259903
0.305185185185185,670072,258163
0.470864197530864,669772,258379
0.727654320987654,669868,259147
0.377037037037037,674086,258895
0.499012345679012,673102,258703
0.516543209876543,669052,259087
0.334320987654321,674188,259183
0.286666666666667,672028,260119
0.691111111111111,670204,259681
0.655061728395062,673306,259051
0.452592592592593,671560,258715
0.13358024691358,670690,259735
0.521234567901235,674248,258769
0.575061728395062,669412,259141
0.647901234567901,669862,259609
0.520493827160494,668914,259771
0.628888888888889,669118,258637
0.400246913580247,670480,259561
0.439012345679012,673564,258295
0.57358024691358,670426,258535
0.376296296296296,670420,258673
0.430864197530864,672316,259279
0.56320987654321,669922,258241
0.364938271604938,673918,258445
0.663456790123457,672958,258265
0.561975308641975,670270,259603
0.453333333333333,673816,259045
0.605679012345679,670438,259291
0.687407407407407,671992,259147
0.582962962962963,673684,258823
0.748641975308642,670138,258661
0.155555555555556,671572,258895
0.340246913580247,669430,258775
0.582962962962963,672262,258901
0.644444444444444,669892,259105
0.629382716049383,671578,258847
0.700740740740741,671626,259795
0.32962962962963,671050,259831
0.499259259259259,670306,260059
0.566913580246914,674446,258451
0.513333333333333,670432,259327
0.467654320987654,674452,259411
0.0901234567901235,675040,259459
0.528148148148148,671950,259261
0.0098765432098765,672508,258541
0.335061728395062,671386,259411
0.602222222222222,669988,258769
0.646666666666667,669052,258745
0.495555555555556,670054,258181
0.481481481481481,674026,258487
0.62320987654321,671122,258901
0.474320987654321,672382,260011
0.649135802469136,672052,258931
0.461234567901235,673924,258409
0.0683950617283951,671680,258295
0.418518518518519,668680,258697
0.684938271604938,670258,258943
0.812098765432099,670744,258493
0.102222222222222,669892,259801
0.529876543209877,674116,258595
0.445679012345679,672094,260107
0.619506172839506,671104,259585
0.646172839506173,672310,259201
0.117037037037037,670696,259825
0.587407407407407,674356,258775
0.461481481481482,669664,258487
0.474074074074074,672538,258877
0.598765432098765,671992,259285
0.442962962962963,673984,258805
0.371851851851852,670468,258427
0.35037037037037,669016,259423
0.610864197530864,669634,259051
0.587901234567901,671626,260017
0.664197530864197,671524,258439
0.0385185185185185,669322,259621
0.511358024691358,673510,259033
0.443950617283951,672520,259543
0.501481481481482,673468,258379
0.420740740740741,674104,258661
0.65358024691358,671818,259729
0.538024691358025,671764,259687
0.394320987654321,668776,259129
0.278024691358025,668638,258679
0.596049382716049,669976,259681
0.682469135802469,671644,258757
0.524444444444444,670816,258601
0.717283950617284,669190,259075
0.547654320987654,672598,259273
0.479012345679012,669034,258625
0.302222222222222,669184,259213
0.267407407407407,668764,258253
0.680246913580247,674452,258715
0.590864197530864,672358,259411
0.638024691358025,673384,259297
0.289382716049383,674488,258583
0.616049382716049,669766,259465
0.476296296296296,669616,259267
0.618765432098765,670618,258247
0.430617283950617,670474,259141
0.15283950617284,671788,260065
0.500740740740741,672664,259321
0.495061728395062,670444,258829
0.78641975308642,672760,259129
0.196543209876543,670006,258889
0.0434567901234568,672652,258427
0.0345679012345679,673936,258577
0.338024691358025,668980,259189
0.240493827160494,670492,260005
0.0703703703703704,672214,259003
0.690617283950617,669322,259513
0.693333333333333,673042,258757
0.332098765432099,669538,258397
0.413827160493827,673954,258919
0.601234567901235,670486,259573
0.519753086419753,670942,258961
0.561728395061728,670486,259267
0.271111111111111,671692,260149
0.454074074074074,669850,258493
0.696049382716049,673516,258811
0.463456790123457,671572,258463
0.353827160493827,668848,258643
0.0012345679012345,674950,259189
0.575308641975309,670612,259243
0.549382716049383,670792,260119
0.73283950617284,672490,258745
0.590123456790123,670426,259159
0.571604938271605,671302,259219
0.609876543209876,673906,259507
0.130864197530864,672508,258373
0.208395061728395,672202,258961
0.452345679012346,669898,259351
0.5,670120,259663
0.633827160493827,671632,260077
0.493333333333333,669658,258283
0.615802469135802,671584,259051
0.509135802469136,668650,258577
0.225679012345679,670738,259555
0.422469135802469,668734,258349
0.403456790123457,670570,258229
0.489135802469136,669532,258529
0.30962962962963,670246,258751
0.570123456790123,670444,259591
0.644938271604938,674350,258679
0.62,672280,259075
0.638765432098765,673318,258511
0.0017283950617284,671032,259711
0.670864197530864,670048,258373
0.42641975308642,673372,258991
0.139012345679012,670090,259429
0.200493827160494,671206,259501
0.581234567901235,671644,260029
0.0017283950617284,671158,258241
0.620246913580247,671938,258925
0.783703703703704,671224,258685
0.193827160493827,670126,259057
0.555061728395062,673462,259045
0.0585185185185185,671224,258433
0.470864197530864,674230,258985
0.476543209876543,670900,258265
0.454074074074074,672016,258853
0.0138271604938272,670774,259831
0.642716049382716,671230,259015
0.444444444444444,673138,258847
0.648148148148148,670918,259453
0.401234567901235,671812,259393
0.588888888888889,671734,260179
0.155308641975309,672112,258649
0.253333333333333,670072,259975
0.568395061728395,672478,259501
0.392839506172839,673558,259189
0.0029629629629629,672538,260203
0.44,669850,259939
0.370123456790123,671722,259093
0.0619753086419753,671356,259699
0.310617283950617,673240,258301
0.488888888888889,670750,259591
0.678024691358025,672340,259537
0.599506172839506,669466,259111
0.660246913580247,671788,260107
0.652098765432099,669196,259021
0.54962962962963,671224,260095
0.714814814814815,670576,258673
0.57283950617284,673690,259375
0.346172839506173,671176,259879
0.0217283950617284,672916,258523
0.327407407407407,669958,258199
0.145679012345679,672520,259705
0.222222222222222,671134,258625
0.51358024691358,669724,258355
0.347407407407407,671746,259423
0.636543209876543,671212,259267
0.66716049382716,671536,259471
0.569382716049383,672322,260101
0.618024691358025,673144,258343
0.643950617283951,673378,258439
0.775555555555556,669268,258739
0.492098765432099,669964,258379
0.747407407407408,671554,258817
0.0192592592592593,672562,258559
0.407160493827161,671914,260173
0.613086419753086,672346,259321
0.218518518518519,674890,258601
0.524938271604938,673720,258319
0.481728395061728,669508,258565
0.282716049382716,670054,258529
0.005679012345679,670666,259819
0.372098765432099,674332,259279
0.557283950617284,670378,259507
0.73358024691358,671698,259057
0.591111111111111,670204,259177
0.608888888888889,670564,260041
0.201728395061728,669604,258283
0.568641975308642,671788,258625
0.291851851851852,674098,258715
0.315061728395062,671764,259315
0.755555555555556,669202,259285
0.20962962962963,670114,258193
0.636543209876543,672088,258715
0.429876543209877,674170,258841
0.471111111111111,673594,258517
0.581481481481482,669994,259207
0.673086419753086,673648,259489
0.677283950617284,672268,258607
0.641481481481482,672508,260203
0.482469135802469,671410,259111
0.572098765432099,669616,259381
0.42716049382716,671812,259465
0.225432098765432,669826,258127
0.541975308641975,669226,259873
0.320246913580247,673678,258373
0.431111111111111,671704,259339
0.601234567901235,672268,259291
0.170864197530864,671914,259723
0.642469135802469,672286,259207
0.44716049382716,670510,258397
0.528641975308642,670570,259165
0.190864197530864,673060,258643
0.432592592592593,674908,258589
0.641481481481482,670474,259693
0.458271604938272,671026,259519
0.321481481481482,674290,258361
0.569382716049383,670528,259267
0.0190123456790123,671380,259909
0.352839506172839,673816,259021
0.670123456790124,669046,258997
0.588395061728395,669484,259099
0.313827160493827,672616,258619
0.194074074074074,673498,258307
0.632839506172839,672274,258691
0.51037037037037,674176,259207
0.664444444444444,669850,259171
0.642716049382716,672166,259129
0.445432098765432,673522,258307
0.517037037037037,669352,258859
0.542716049382716,672838,258997
0.0101234567901235,674728,258847
0.644691358024691,672172,259135
0.178765432098765,671698,259297
0.48962962962963,674386,258493
0.680987654320988,669868,259177
0.233086419753086,671062,260059
0.0012345679012345,675010,259483
0.625925925925926,672478,259123
0.54962962962963,668854,258949
0.622716049382716,671284,259123
0.422962962962963,674230,258991
0.378271604938272,670498,259483
