"fit","se.fit"
6.31066258643988,8.11090493650718
6.2793596073449,7.96034102401016
6.24805662824992,7.81213267376666
6.21675364915494,7.66641650127603
6.18545067005995,7.52333731757744
6.15414769096497,7.38304843418897
6.12284471186999,7.24571192731385
6.09156375245646,7.11170990202408
6.06034815010558,6.9814929145193
6.02920726878278,6.85508220732077
5.99814980912081,6.73249414725885
5.96718447175238,6.61374710276159
5.93631995731018,6.4988609616744
5.90556496642693,6.38785660215696
5.87492819973535,6.28075531712555
5.84441835786814,6.17757819368909
5.81404414145801,6.07834545016008
5.78381425113767,5.98307573449831
5.75373738753984,5.89178538944161
5.72382225129722,5.80448769106113
5.69407754304253,5.72119206900225
5.66451196340847,5.64190331817746
5.63513421302776,5.5666208130954
5.6059529925331,5.49533773726193
5.57697700255721,5.42804034109283
5.54821494373281,5.36470724244969
5.51967551669258,5.30530878417629
5.49136742206926,5.2498064628078
5.46329936049555,5.19815244190821
5.43548003260415,5.15028916224397
5.40791813902779,5.10614905923822
5.38062238039917,5.06565439591587
5.353601457351,5.02871721692318
5.32686407051599,4.99523942629364
5.30041892052686,4.96511298856411
5.27427470801631,4.93822024976439
5.24844013361705,4.91443437185596
5.2229238979618,4.89361987152124
5.19773470168327,4.87563325192364
5.17288124541416,4.86032371426788
5.14837222978718,4.84753393475113
5.12421635543505,4.83710089183889
5.10042232299048,4.82885672871739
5.07699883308618,4.82262963623074
5.05395458635486,4.81824474254214
5.03129828342923,4.81552499708225
5.00903862494199,4.81429203797161
4.98718431152587,4.81436703393059
4.96574404381357,4.81557149362699
4.9447265224378,4.81772803737245
4.92414044803127,4.82066112799277
4.90399452122669,4.82419775950576
4.88429744265678,4.82816810390232
4.86505791295424,4.83240611781432
4.84628463275178,4.83675011215507
4.82798630268212,4.8410432889323
4.81017162337797,4.84513425036974
4.79284929547203,4.84887748624628
4.77602801959702,4.85213384599264
4.75971649638564,4.85477100259788
4.74392342647062,4.85666391579619
4.72865751048465,4.85769530235211
4.71392744906045,4.85775612156195
4.69974194283073,4.85674608435941
4.6861096924282,4.85457419467035
4.67304022323664,4.8511685338719
4.66054900277032,4.84653362675324
4.64865410299982,4.84071234669549
4.63737360697163,4.83375593366052
4.62672559773223,4.82572294225779
4.61672815832814,4.81667836650976
4.60739937180585,4.80669281091105
4.59875732121186,4.795841701697
4.59082008959266,4.7842045327955
4.58360575999477,4.77186414152567
4.57713241546465,4.75890600972118
4.57141813904884,4.74541758658877
4.56648101379381,4.73148763025918
4.56233912274606,4.71720556564627
4.5590105489521,4.70266085689505
4.55651337545842,4.68794239336849
4.55486568531153,4.67313788878943
4.5540855615579,4.65833329381178
4.55419108724406,4.64361222293675
4.55520034541649,4.62905539730438
4.55713141912169,4.61474010546787
4.56000239140616,4.60073968478623
4.5638313453164,4.58712302653523
4.56863636389891,4.57395410822694
4.57443553020017,4.56129155692901
4.5812469272667,4.54918824757774
4.589088638145,4.53769094037285
4.59797874588154,4.52683996132132
4.60793533352285,4.51666892986012
4.61897648411541,4.50720453723335
4.63112028070571,4.49846637893572
4.64438480634028,4.49046684406949
4.65878814406558,4.48321106391306
4.67434837692813,4.47669692138259
4.69108358797442,4.47091512240748
4.70901186025096,4.4658493295582
4.72815127680424,4.46147635758879
4.74851992068075,4.45776642990979
4.770135874927,4.45468349441594
4.79301722258948,4.45218559657948
4.81718204671469,4.45022530730161
4.84264843034913,4.44875020270893
4.8694344565393,4.44770339289714
4.8975582083317,4.44702409656817
4.92703776877282,4.44664825857993
4.95789122090916,4.44650920762709
4.99013664778722,4.4465383515889
5.02379213245349,4.44666590850687
5.05887575795448,4.44682167167612
5.09540560733668,4.44693580793517
5.1333997636466,4.44693968890215
5.17287630993073,4.44676675561247
5.21385332923556,4.44635341774481
5.25634890460759,4.44563998935775
5.30038111909333,4.44457166377718
5.34596805573927,4.44309953095045
5.39312779759191,4.44118164119035
5.44187842769774,4.43878411973923
5.49222628229541,4.43588973837717
5.54408102149213,4.43255164962228
5.5973047915745,4.42886006564627
5.65175940893123,4.42491079839114
5.70730668995111,4.4208037885384
5.76380845102285,4.41664187824287
5.82112650853521,4.41252961424142
5.87912267887693,4.40857207905587
5.93765877843675,4.40487374952966
5.99659662360343,4.40153738345347
6.05579803076569,4.39866293650566
6.11512481631229,4.39634651311649
6.17443879663198,4.39467935611705
6.2336017881135,4.39374688110829
6.29247560714558,4.39362776234
6.35092207011699,4.39439307748414
6.40880299341644,4.39610551898873
6.46598019343272,4.39881867968519
6.52231548655453,4.40257641998225
6.57767068917064,4.40741232331648
6.63190761766979,4.41334924556299
6.68488808844072,4.42039896287156
6.73647391787217,4.42856192093402
6.78652692235291,4.4378270870652
6.83490891827165,4.44817190476366
6.88148172201716,4.45956234868029
6.92610714997816,4.4719530762387
6.96864701854343,4.48528767058851
7.00896314410168,4.49949896819426
7.04691734304167,4.51450946321734
7.08237143175214,4.5302317799731
7.11518722662184,4.54656920416094
7.14522654403951,4.5634162632778
7.1723512003939,4.58065934662826
7.19642301207375,4.59817735561587
7.2173037954678,4.61584237551309
7.23485536696481,4.63352036062363
7.2489395429535,4.65107182563187
7.25941813982264,4.66835253693923
7.26615297396095,4.68521419887681
7.26900586175718,4.70150513082293
7.26783861960011,4.71707093241231
7.26251306387843,4.73175513517704
7.25289101098092,4.74539984009089
7.23883427729632,4.7578463415867
7.22020467921336,4.76893573967979
7.19686403312081,4.77850954285919
7.16867415540737,4.78641026541415
7.13549686246183,4.79248202385897
7.09719397067292,4.79657113812549
7.05362729642937,4.79852674423424
7.00465865611994,4.79820142626255
6.95014986613338,4.79545187663572
6.88996274285842,4.79013959511667
6.82395910268381,4.78213163840754
6.75200076199828,4.77130143405633
6.6739495371906,4.75752967444665
6.5896672446495,4.74070530910789
6.49901696703212,4.72074021395489
6.40187374398465,4.69768465524731
6.29811919225354,4.67166955312746
6.18763499682904,4.64283595657097
6.07030284270136,4.61133352702721
5.94600441486069,4.57731983567923
5.81462139829726,4.54095972871336
5.67603547800128,4.50242474695848
5.53012833896295,4.46189258712729
5.3767816661725,4.41954659253896
5.21587714462015,4.37557526165634
5.04729645929608,4.33017176306646
4.87092129519052,4.28353344570625
4.68663333729369,4.23586133323054
4.4943142705958,4.18735959148201
4.29384578008705,4.13823495811148
4.08510955075766,4.08869612357422
3.86798726759786,4.03895305306912
3.64236061559783,3.98921623957514
3.40811127974781,3.93969587906406
3.165120945038,3.8906009603246
2.9132712964586,3.84213826371501
2.65244401899985,3.79451126565204
2.38252079765195,3.74791894881153
2.10338331740511,3.70255452189094
1.81491326324954,3.65860405735574
1.51699232017546,3.61624506078626
1.20950217317308,3.57564499111132
0.892324507232619,3.53695975693193
0.565341007344274,3.5003322199896
0.228433358498261,3.46589074223089
-0.1185167543152,3.43374781742426
-0.475627646105887,3.403998831435
